finger_0_x, finger_0_y, finger_0_z, finger_1_x, finger_1_y, finger_1_z, finger_2_x, finger_2_y, finger_2_z, finger_3_x, finger_3_y, finger_3_z, imp00, imp01, imp02, imp03, imp10, imp11, imp12, imp13, imp20, imp21, imp22, imp23, imp30, imp31, imp32, imp33, trq00, trq01, trq02, trq03, trq10, trq11, trq12, trq13, trq20, trq21, trq22, trq23, trq30, trq31, trq32, trq33, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 1.91946e-16, 0.00156981, 0.00112239, 0.000349515, 2.35145e-32, 0.00154554, 0.00110915, 0.000344072, 1.36094e-19, 0.00156803, 0.00112141, 0.000349114, 0.00406736, 5.28777e-18, 0.00048574, 0.000219283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.02049e-16, 0.00164859, 0.00119861, 0.00036699, 2.47521e-32, 0.0016231, 0.00118472, 0.000361276, 1.42898e-19, 0.00164671, 0.00119759, 0.00036657, 0.00427073, 5.54264e-18, 0.000510027, 0.000230247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.12152e-16, 0.00172736, 0.00127481, 0.000384466, 2.59898e-32, 0.00170066, 0.00126026, 0.000378479, 1.49703e-19, 0.0017254, 0.00127374, 0.000384026, 0.0044741, 5.80287e-18, 0.00068919, 0.000241211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.22255e-16, 0.00180614, 0.00135097, 0.000401942, 2.72275e-32, 0.00177822, 0.00133576, 0.000395683, 1.56508e-19, 0.00180408, 0.00134985, 0.000401481, 0.00467747, 6.06846e-18, 0.000867981, 0.000252175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.32357e-16, 0.00188491, 0.00142709, 0.000419418, 2.84651e-32, 0.00185578, 0.00141123, 0.000412886, 1.63312e-19, 0.00188277, 0.00142592, 0.000418937, 0.00488084, 6.32869e-18, 0.0010464, 0.00026314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.4246e-16, 0.00196368, 0.00150318, 0.000436893, 2.97028e-32, 0.00193334, 0.00148666, 0.00043009, 1.70117e-19, 0.00196145, 0.00150196, 0.000436393, 0.0050842, 6.59697e-18, 0.00122445, 0.000274104, 2.91503e-16, 0.00235736, 0.00182272, 0.000524423, 3.51547e-32, 0.00228479, 0.00177482, 0.000508218, 2.03965e-19, 0.00235198, 0.00181917, 0.000523222, 0.0105751, 1.37198e-17, 0.00280425, 0.000570136, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.52563e-16, 0.00204245, 0.00157923, 0.000454369, 3.09405e-32, 0.00201089, 0.00156206, 0.000447294, 1.76922e-19, 0.00204013, 0.00157797, 0.000453849, 0.00528757, 6.85988e-18, 0.00140212, 0.000285068, 3.03163e-16, 0.00244827, 0.00191046, 0.000544594, 3.6561e-32, 0.00237291, 0.00186045, 0.000527764, 2.1181e-19, 0.00244269, 0.00190676, 0.000543346, 0.0109819, 1.4251e-17, 0.00315887, 0.000592064, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.62666e-16, 0.00212123, 0.00165525, 0.000471845, 3.21781e-32, 0.00208845, 0.00163742, 0.000464497, 1.83726e-19, 0.00211881, 0.00165394, 0.000471304, 0.00549094, 7.12548e-18, 0.00157943, 0.000296032, 3.14824e-16, 0.00253919, 0.00199816, 0.000564764, 3.79672e-32, 0.00246103, 0.00194604, 0.000547311, 2.19655e-19, 0.0025334, 0.0019943, 0.00056347, 0.0113886, 1.47929e-17, 0.00351274, 0.000613992, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.72769e-16, 0.0022, 0.00173124, 0.000489321, 3.34158e-32, 0.00216601, 0.00171275, 0.000481701, 1.90531e-19, 0.00219749, 0.00172988, 0.00048876, 0.00569431, 7.39644e-18, 0.00175637, 0.000306996, 3.26484e-16, 0.0026301, 0.00208582, 0.000584934, 3.93735e-32, 0.00254915, 0.00203159, 0.000566858, 2.275e-19, 0.0026241, 0.00208181, 0.000583594, 0.0117954, 1.53294e-17, 0.00386589, 0.000635921, 
-0.11, -0.0053096, 0.128442, -0.11, -0.015, 0.1312, -0.11, -0.0096904, 0.128442, -0.1232, -0.13241, -0.0146979, 2.82871e-16, 0.00227877, 0.00180719, 0.000506796, 3.46535e-32, 0.00224357, 0.00178805, 0.000498904, 1.97336e-19, 0.00227618, 0.00180578, 0.000506216, 0.00589768, 7.66472e-18, 0.00193294, 0.00031796, 3.38145e-16, 0.00272102, 0.00217344, 0.00071233, 4.07797e-32, 0.00263727, 0.0021171, 0.000586405, 2.35345e-19, 0.00271481, 0.00216927, 0.000710823, 0.0122021, 1.58606e-17, 0.0042183, 0.000657849, 
